type,name,id
ncRNA,hsa-let-7e,0
ncRNA,hsa-let-7g,1
ncRNA,hsa-let-7i,2
ncRNA,hsa-miR-100-3p,3
ncRNA,hsa-miR-100-5p,4
ncRNA,hsa-miR-101-3p,5
ncRNA,hsa-miR-101-5p,6
ncRNA,hsa-miR-103b,7
ncRNA,hsa-mir-105-1,8
ncRNA,hsa-miR-105-3p,9
ncRNA,hsa-miR-105-5p,10
ncRNA,hsa-miR-106a-3p,11
ncRNA,hsa-miR-106a-5p,12
ncRNA,hsa-mir-106b,13
ncRNA,hsa-miR-106b-3p,14
ncRNA,hsa-miR-106b-5p,15
ncRNA,hsa-mir-107,16
ncRNA,hsa-miR-107,17
ncRNA,hsa-mir-10a,18
ncRNA,hsa-miR-10a-3p,19
ncRNA,hsa-miR-10a-5p,20
ncRNA,hsa-mir-10b,21
ncRNA,hsa-miR-10b-3p,22
ncRNA,hsa-miR-10b-5p,23
ncRNA,hsa-miR-1178-3p,24
ncRNA,hsa-miR-1179,25
ncRNA,hsa-mir-1180,26
ncRNA,hsa-miR-1180-3p,27
ncRNA,hsa-miR-1181,28
ncRNA,hsa-mir-1182,29
ncRNA,hsa-miR-1182,30
ncRNA,hsa-mir-1183,31
ncRNA,hsa-miR-1183,32
ncRNA,hsa-mir-1185-1,33
ncRNA,hsa-miR-1197,34
ncRNA,hsa-miR-1200,35
ncRNA,hsa-miR-1202,36
ncRNA,hsa-miR-1203,37
ncRNA,hsa-miR-1204,38
ncRNA,hsa-miR-1205,39
ncRNA,hsa-miR-1206,40
ncRNA,hsa-mir-1207,41
ncRNA,hsa-miR-1207-3p,42
ncRNA,hsa-miR-1207-5p,43
ncRNA,hsa-miR-1208,44
ncRNA,hsa-miR-122-3p,45
ncRNA,hsa-miR-122-5p,46
ncRNA,hsa-mir-1224,47
ncRNA,hsa-miR-1224-3p,48
ncRNA,hsa-miR-1224-5p,49
ncRNA,hsa-mir-1225,50
ncRNA,hsa-miR-1225-3p,51
ncRNA,hsa-miR-1225-5p,52
ncRNA,hsa-mir-1226,53
ncRNA,hsa-miR-1226-3p,54
ncRNA,hsa-miR-1226-5p,55
ncRNA,hsa-miR-1227-5p,56
ncRNA,hsa-mir-1228,57
ncRNA,hsa-miR-1228-3p,58
ncRNA,hsa-miR-1228-5p,59
ncRNA,hsa-miR-1229-3p,60
ncRNA,hsa-miR-1229-5p,61
ncRNA,hsa-miR-122b-5p,62
ncRNA,hsa-mir-1231,63
ncRNA,hsa-miR-1231,64
ncRNA,hsa-miR-1233-3p,65
ncRNA,hsa-miR-1233-5p,66
ncRNA,hsa-mir-1234,67
ncRNA,hsa-miR-1234-3p,68
ncRNA,hsa-miR-1236-3p,69
ncRNA,hsa-miR-1236-5p,70
ncRNA,hsa-miR-1237-3p,71
ncRNA,hsa-miR-1237-5p,72
ncRNA,hsa-miR-1238-3p,73
ncRNA,hsa-mir-124-3,74
ncRNA,hsa-miR-124-3p,75
ncRNA,hsa-miR-124-5p,76
ncRNA,hsa-miR-1243,77
ncRNA,hsa-miR-1244,78
ncRNA,hsa-miR-1245a,79
ncRNA,hsa-miR-1245b-3p,80
ncRNA,hsa-miR-1245b-5p,81
ncRNA,hsa-mir-1246,82
ncRNA,hsa-miR-1246,83
ncRNA,hsa-mir-1247,84
ncRNA,hsa-miR-1247-3p,85
ncRNA,hsa-miR-1247-5p,86
ncRNA,hsa-miR-1248,87
ncRNA,hsa-miR-1249-3p,88
ncRNA,hsa-miR-1250-5p,89
ncRNA,hsa-mir-1252,90
ncRNA,hsa-miR-1252-5p,91
ncRNA,hsa-miR-1253,92
ncRNA,hsa-miR-1254,93
ncRNA,hsa-miR-1255a,94
ncRNA,hsa-mir-1255b-2,95
ncRNA,hsa-miR-1255b-5p,96
ncRNA,hsa-miR-1256,97
ncRNA,hsa-miR-1257,98
ncRNA,hsa-miR-1258,99
ncRNA,hsa-miR-125a-3p,100
ncRNA,hsa-miR-125a-5p,101
ncRNA,hsa-mir-125b-1,102
ncRNA,hsa-miR-125b-1-3p,103
ncRNA,hsa-mir-125b-2,104
ncRNA,hsa-miR-125b-2-3p,105
ncRNA,hsa-miR-125b-5p,106
ncRNA,hsa-miR-126-3p,107
ncRNA,hsa-miR-126-5p,108
ncRNA,hsa-mir-1260a,109
ncRNA,hsa-miR-1260a,110
ncRNA,hsa-miR-1260b,111
ncRNA,hsa-miR-1261,112
ncRNA,hsa-miR-1262,113
ncRNA,hsa-miR-1264,114
ncRNA,hsa-miR-1265,115
ncRNA,hsa-mir-1266,116
ncRNA,hsa-miR-1266-5p,117
ncRNA,hsa-miR-1267,118
ncRNA,hsa-miR-1268a,119
ncRNA,hsa-miR-1268b,120
ncRNA,hsa-miR-1269a,121
ncRNA,hsa-miR-1269b,122
ncRNA,hsa-miR-127-3p,123
ncRNA,hsa-miR-1270,124
