scenario,scenario_label,scenario_family,noise_level,model,model_label,macro_f1_pct,aupr_pct,resistance_f1_pct,delta_macro_f1_pct,delta_aupr_pct,polarity_flip_rate_pct
clean,Clean,clean,0,base,SPHLCMGA,70.52017168366598,73.21074989132896,59.73993229700195,0.0,0.0,0.0
pathway10,Pathway 10%,pathway,10,base,SPHLCMGA,70.52017168366598,73.21074989132896,59.73993229700195,0.0,0.0,0.0
pathway20,Pathway 20%,pathway,20,base,SPHLCMGA,70.52017168366598,73.21074989132896,59.73993229700195,0.0,0.0,0.0
combined10,Combined 10%,combined,10,base,SPHLCMGA,70.52017168366598,73.21074989132896,59.73993229700195,0.0,0.0,0.0
combined20,Combined 20%,combined,20,base,SPHLCMGA,70.52017168366598,73.21074989132896,59.73993229700195,0.0,0.0,0.0
clean,Clean,clean,0,context_pathway,SPHLCMGA-CP,71.82209191525003,74.06404828635311,60.39114678593685,0.0,0.0,0.0
pathway10,Pathway 10%,pathway,10,context_pathway,SPHLCMGA-CP,71.7731584324346,74.49961989437493,62.222150411621655,-0.04893348281542753,0.43557160802181194,12.705194513154936
pathway20,Pathway 20%,pathway,20,context_pathway,SPHLCMGA-CP,71.67176438888686,74.55799285701319,59.782750197038695,-0.15032752636316982,0.49394457066007647,14.346750618394424
combined10,Combined 10%,combined,10,context_pathway,SPHLCMGA-CP,71.7731584324346,74.49961989437493,62.222150411621655,-0.04893348281542753,0.43557160802181194,12.705194513154936
combined20,Combined 20%,combined,20,context_pathway,SPHLCMGA-CP,71.67176438888686,74.55799285701319,59.782750197038695,-0.15032752636316982,0.49394457066007647,14.346750618394424
