id,name,canonical_name,source_datasets,type
0,"1,25(OH)2D3",calcitriol,dataset1;dataset2,drug
1,10-hydroxycamptothecin,10-hydroxycamptothecin,dataset1;dataset2,drug
2,AZD8055,azd8055,dataset1,drug
3,Adriamycin,doxorubicin,dataset1;dataset2,drug
4,Afatinib,afatinib,dataset1;dataset2,drug
5,Apigenin,apigenin,dataset1,drug
6,Ara-C,cytarabine,dataset1;dataset2,drug
7,BEZ235,bez235,dataset1,drug
8,Baicalein,baicalein,dataset1;dataset2,drug
9,Berberine,berberine,dataset1;dataset2,drug
10,Betulinic acid,betulinic acid,dataset1;dataset2,drug
11,Bleomycin,bleomycin,dataset1,drug
12,Bortezomib,bortezomib,dataset1;dataset2,drug
13,CX-3543,cx-3543,dataset1,drug
14,Calycosin,calycosin,dataset1,drug
15,Camptothecin,camptothecin,dataset1;dataset2,drug
16,Capecitabine,capecitabine,dataset1;dataset2,drug
17,Capsaicin,capsaicin,dataset1,drug
18,Carboplatin,carboplatin,dataset1;dataset2,drug
19,Carmustine,carmustine,dataset1;dataset2,drug
20,Celastrol,celastrol,dataset1;dataset2,drug
21,Cisplatin,cisplatin,dataset1;dataset2,drug
22,Crizotinib,crizotinib,dataset1;dataset2,drug
23,Cucurbitacin B,cucurbitacin b,dataset1,drug
24,Curcumin,curcumin,dataset1;dataset2,drug
25,Cyclophosphamide,cyclophosphamide,dataset1;dataset2,drug
26,Dabrafenib,dabrafenib,dataset1;dataset2,drug
27,Dacarbazine,dacarbazine,dataset1;dataset2,drug
28,Dasatinib,dasatinib,dataset1;dataset2,drug
29,Daunorubicin,daunorubicin,dataset1;dataset2,drug
30,Dexamethasone,dexamethasone,dataset1;dataset2,drug
31,Docetaxel,docetaxel,dataset1;dataset2,drug
32,Enzalutamide,enzalutamide,dataset1;dataset2,drug
33,Epirubicin,epirubicin,dataset1;dataset2,drug
34,Erlotinib,erlotinib,dataset1;dataset2,drug
35,Etoposide,etoposide,dataset1;dataset2,drug
36,Everolimus,everolimus,dataset1,drug
37,Fentanyl,fentanyl,dataset1,drug
38,Fludarabine,fludarabine,dataset1,drug
39,Fluorouracil,fluorouracil,dataset1;dataset2,drug
40,Fulvestrant,fulvestrant,dataset1;dataset2,drug
41,Gefitinib,gefitinib,dataset1;dataset2,drug
42,Gemcitabine,gemcitabine,dataset1;dataset2,drug
43,Genistein,genistein,dataset1;dataset2,drug
44,Ibrutinib,ibrutinib,dataset1;dataset2,drug
45,Idarubicine,idarubicine,dataset1,drug
46,Ifosfamide,ifosfamide,dataset1,drug
47,Imatinib,imatinib,dataset1;dataset2,drug
48,Irinotecan,irinotecan,dataset1;dataset2,drug
49,Lapatinib,lapatinib,dataset1;dataset2,drug
50,Luteolin,luteolin,dataset1,drug
51,Melphalan,melphalan,dataset1;dataset2,drug
52,Methotrexate,methotrexate,dataset1;dataset2,drug
53,Mitomycin,mitomycin c,dataset1;dataset2,drug
54,Mitoxantrone,mitoxantrone,dataset1;dataset2,drug
55,Neratinib,neratinib,dataset1,drug
56,Olaparib,olaparib,dataset1;dataset2,drug
57,Osimertinib,osimertinib,dataset1;dataset2,drug
58,Oxaliplatin,oxaliplatin,dataset1;dataset2,drug
59,Oxymatrine,oxymatrine,dataset1,drug
60,Paclitaxel,paclitaxel,dataset1;dataset2,drug
61,Panobinostat,panobinostat,dataset1;dataset2,drug
62,Parthenolide,parthenolide,dataset1;dataset2,drug
63,Pirarubicin,pirarubicin,dataset1;dataset2,drug
64,Ponatinib,ponatinib,dataset1,drug
65,Prednisone,prednisone,dataset1;dataset2,drug
66,Propofol,propofol,dataset1;dataset2,drug
67,Quisinostat,quisinostat,dataset1,drug
68,Rapamycin,sirolimus,dataset1;dataset2,drug
69,Saracatinib,saracatinib,dataset1;dataset2,drug
70,Serdemetan,serdemetan,dataset1;dataset2,drug
71,Sorafenib,sorafenib,dataset1;dataset2,drug
72,Sunitinib,sunitinib,dataset1;dataset2,drug
73,Tamoxifen,tamoxifen,dataset1;dataset2,drug
74,Taxane,taxane,dataset1;dataset2,drug
75,Temozolomide,temozolomide,dataset1;dataset2,drug
76,Temsirolimus,temsirolimus,dataset1;dataset2,drug
77,Teniposide,teniposide,dataset1;dataset2,drug
78,Thalidomide,thalidomide,dataset1,drug
79,Tipifarnib,tipifarnib,dataset1,drug
80,Tivantinib,tivantinib,dataset1;dataset2,drug
81,Topotecan,topotecan,dataset1;dataset2,drug
82,Veliparib,veliparib,dataset1;dataset2,drug
83,Vemurafenib,vemurafenib,dataset1;dataset2,drug
84,Vincristine,vincristine,dataset1;dataset2,drug
85,Lenvatinib,lenvatinib,dataset2,drug
86,Rutin,rutin,dataset2,drug
87,Pemetrexed,pemetrexed,dataset2,drug
88,Sevoflurane,sevoflurane,dataset2,drug
89,Verapamil,verapamil,dataset2,drug
90,Vinorelbine,vinorelbine,dataset2,drug
91,Cabergoline,cabergoline,dataset2,drug
92,Bromocriptine,bromocriptine,dataset2,drug
93,Cabazitaxel,cabazitaxel,dataset2,drug
94,Progesterone,progesterone,dataset2,drug
95,Ceritinib,ceritinib,dataset2,drug
96,Regorafenib,regorafenib,dataset2,drug
97,Azacitidine,azacitidine,dataset2,drug
98,Trametinib,trametinib,dataset2,drug
99,Cyclopamine,cyclopamine,dataset2,drug
100,Lorlatinib,lorlatinib,dataset2,drug
101,Navitoclax,navitoclax,dataset2,drug
102,Anthracycline,anthracycline,dataset2,drug
103,Apatinib,apatinib,dataset2,drug
