id,name,canonical_name,source_datasets,type
0,ADAMTS9-AS2,adamts9-as2,dataset1;dataset2,ncrna
1,AKR1B1,akr1b1,dataset1,ncrna
2,ANKRD1,ankrd1,dataset1,ncrna
3,ANRIL,anril,dataset1,ncrna
4,ARHGAP5-AS1,arhgap5-as1,dataset1;dataset2,ncrna
5,BABAM2-AS1,babam2-as1,dataset1,ncrna
6,BAD,bad,dataset1,ncrna
7,BANCR,bancr,dataset1;dataset2,ncrna
8,BCAR4,bcar4,dataset1;dataset2,ncrna
9,CASC2,casc2,dataset1;dataset2,ncrna
10,CASC9,casc9,dataset1;dataset2,ncrna
11,CCAT1,ccat1,dataset1;dataset2,ncrna
12,CCDC144NL-AS1,ccdc144nl-as1,dataset1;dataset2,ncrna
13,CRNDE,crnde,dataset1;dataset2,ncrna
14,DGCR5,dgcr5,dataset1,ncrna
15,DPP10-AS1,dpp10-as1,dataset1,ncrna
16,ENTPD1-AS1,entpd1-as1,dataset1;dataset2,ncrna
17,EPHA5-AS1,epha5-as1,dataset1;dataset2,ncrna
18,EWSAT1,ewsat1,dataset1,ncrna
19,FAM223A,fam223a,dataset1,ncrna
20,FENDRR,fendrr,dataset1;dataset2,ncrna
21,FOXC2-AS1,foxc2-as1,dataset1,ncrna
22,FOXD2-AS1,foxd2-as1,dataset1;dataset2,ncrna
23,GACAT3,gacat3,dataset1,ncrna
24,GAS5,gas5,dataset1;dataset2,ncrna
25,GIHCG,gihcg,dataset1;dataset2,ncrna
26,H19,h19,dataset1;dataset2,ncrna
27,HAR1A,har1a,dataset1;dataset2,ncrna
28,HIF1A-AS2,hif1a-as2,dataset1;dataset2,ncrna
29,HOTAIR,hotair,dataset1;dataset2,ncrna
30,HOTTIP,hottip,dataset1;dataset2,ncrna
31,HULC,hulc,dataset1;dataset2,ncrna
32,Hoxa-AS2,hoxa-as2,dataset1;dataset2,ncrna
33,JPX,jpx,dataset1;dataset2,ncrna
34,LINC00161,linc00161,dataset1;dataset2,ncrna
35,LINC00239,linc00239,dataset1;dataset2,ncrna
36,LINC00261,linc00261,dataset1;dataset2,ncrna
37,LINC00460,linc00460,dataset1;dataset2,ncrna
38,LINC00467,linc00467,dataset1;dataset2,ncrna
39,LINC00473,linc00473,dataset1;dataset2,ncrna
40,LINC00511,linc00511,dataset1;dataset2,ncrna
41,LINC00515,linc00515,dataset1;dataset2,ncrna
42,LINC00662,linc00662,dataset1;dataset2,ncrna
43,LINP1,linp1,dataset1;dataset2,ncrna
44,LOC285194,loc285194,dataset1,ncrna
45,LUCAT1,lucat1,dataset1;dataset2,ncrna
46,MACC1-AS1,macc1-as1,dataset1;dataset2,ncrna
47,MALAT1,malat1,dataset1;dataset2,ncrna
48,MEG3,meg3,dataset1;dataset2,ncrna
49,MEIS1-AS3,meis1-as3,dataset1,ncrna
50,MIR31HG,mir31hg,dataset1;dataset2,ncrna
51,NEAT1,neat1,dataset1;dataset2,ncrna
52,NKILA,nkila,dataset1,ncrna
53,NR2F1-AS1,nr2f1-as1,dataset1;dataset2,ncrna
54,NRAL,nral,dataset1;dataset2,ncrna
55,NRAV,nrav,dataset1;dataset2,ncrna
56,OIP5-AS1,oip5-as1,dataset1;dataset2,ncrna
57,PART1,part1,dataset1;dataset2,ncrna
58,PCAT-1,pcat-1,dataset1;dataset2,ncrna
59,PCGEM1,pcgem1,dataset1;dataset2,ncrna
60,PVT1,pvt1,dataset1;dataset2,ncrna
61,PWAR6,pwar6,dataset1;dataset2,ncrna
62,SLC25A21-AS1,slc25a21-as1,dataset1;dataset2,ncrna
63,SNHG5,snhg5,dataset1;dataset2,ncrna
64,SNORD95,snord95,dataset1,ncrna
65,SOCS2-AS1,socs2-as1,dataset1;dataset2,ncrna
66,TP53TG1,tp53tg1,dataset1;dataset2,ncrna
67,TPTEP1,tptep1,dataset1,ncrna
68,TRPM2-AS,trpm2-as,dataset1;dataset2,ncrna
69,TUG1,tug1,dataset1;dataset2,ncrna
70,TUSC7,tusc7,dataset1;dataset2,ncrna
71,UCA1,uca1,dataset1;dataset2,ncrna
72,ULK4P1,ulk4p1,dataset1,ncrna
73,XIST,xist,dataset1,ncrna
74,XLOC_006753,xloc 006753,dataset1,ncrna
75,ZBTB20-AS4,zbtb20-as4,dataset1,ncrna
76,ZEB1-AS1,zeb1-as1,dataset1;dataset2,ncrna
77,ZFAS1,zfas1,dataset1;dataset2,ncrna
78,ZNF667-AS1,znf667-as1,dataset1;dataset2,ncrna
79,ZNF714,znf714,dataset1,ncrna
80,hsa_circ_0000192,hsa circ 0000192,dataset1;dataset2,ncrna
81,hsa_circ_0000237,hsa circ 0000237,dataset1,ncrna
82,hsa_circ_0000285,hsa circ 0000285,dataset1,ncrna
83,hsa_circ_0000419,hsa circ 0000419,dataset1;dataset2,ncrna
84,hsa_circ_0000504,hsa circ 0000504,dataset1,ncrna
85,hsa_circ_0001258,hsa circ 0001258,dataset1,ncrna
86,hsa_circ_0001565,hsa circ 0001565,dataset1,ncrna
87,hsa_circ_0001667,hsa circ 0001667,dataset1,ncrna
88,hsa_circ_0002060,hsa circ 0002060,dataset1,ncrna
89,hsa_circ_0002113,hsa circ 0002113,dataset1;dataset2,ncrna
90,hsa_circ_0002130,hsa circ 0002130,dataset1;dataset2,ncrna
91,hsa_circ_0002168,hsa circ 0002168,dataset1;dataset2,ncrna
92,hsa_circ_0002314,hsa circ 0002314,dataset1;dataset2,ncrna
93,hsa_circ_0002483,hsa circ 0002483,dataset1;dataset2,ncrna
94,hsa_circ_0002654,hsa circ 0002654,dataset1,ncrna
95,hsa_circ_0002874,hsa circ 0002874,dataset1;dataset2,ncrna
96,hsa_circ_0003183,hsa circ 0003183,dataset1;dataset2,ncrna
97,hsa_circ_0003838,hsa circ 0003838,dataset1;dataset2,ncrna
98,hsa_circ_0004015,hsa circ 0004015,dataset1,ncrna
99,hsa_circ_0004254,hsa circ 0004254,dataset1,ncrna
100,hsa_circ_0004674,hsa circ 0004674,dataset1;dataset2,ncrna
101,hsa_circ_0004841,hsa circ 0004841,dataset1;dataset2,ncrna
102,hsa_circ_0005004,hsa circ 0005004,dataset1;dataset2,ncrna
103,hsa_circ_0005046,hsa circ 0005046,dataset1;dataset2,ncrna
104,hsa_circ_0005642,hsa circ 0005642,dataset1;dataset2,ncrna
105,hsa_circ_0005721,hsa circ 0005721,dataset1;dataset2,ncrna
106,hsa_circ_0005949,hsa circ 0005949,dataset1,ncrna
107,hsa_circ_0006101,hsa circ 0006101,dataset1,ncrna
108,hsa_circ_0006174,hsa circ 0006174,dataset1,ncrna
109,hsa_circ_0006318,hsa circ 0006318,dataset1;dataset2,ncrna
110,hsa_circ_0006528,hsa circ 0006528,dataset1;dataset2,ncrna
111,hsa_circ_0006608,hsa circ 0006608,dataset1;dataset2,ncrna
112,hsa_circ_0006873,hsa circ 0006873,dataset1,ncrna
113,hsa_circ_0006903,hsa circ 0006903,dataset1;dataset2,ncrna
114,hsa_circ_0007006,hsa circ 0007006,dataset1,ncrna
115,hsa_circ_0007031,hsa circ 0007031,dataset1,ncrna
116,hsa_circ_0007551,hsa circ 0007551,dataset1;dataset2,ncrna
117,hsa_circ_0007769,hsa circ 0007769,dataset1,ncrna
118,hsa_circ_0008131,hsa circ 0008131,dataset1,ncrna
119,hsa_circ_0008494,hsa circ 0008494,dataset1,ncrna
120,hsa_circ_0008509,hsa circ 0008509,dataset1,ncrna
121,hsa_circ_0011292,hsa circ 0011292,dataset1,ncrna
122,hsa_circ_0011293,hsa circ 0011293,dataset1,ncrna
123,hsa_circ_0011298,hsa circ 0011298,dataset1,ncrna
124,hsa_circ_0017474,hsa circ 0017474,dataset1,ncrna
125,hsa_circ_0017485,hsa circ 0017485,dataset1,ncrna
126,hsa_circ_0017728,hsa circ 0017728,dataset1,ncrna
127,hsa_circ_0018293,hsa circ 0018293,dataset1,ncrna
128,hsa_circ_0019088,hsa circ 0019088,dataset1,ncrna
129,hsa_circ_0020301,hsa circ 0020301,dataset1,ncrna
130,hsa_circ_0022080,hsa circ 0022080,dataset1,ncrna
131,hsa_circ_0022217,hsa circ 0022217,dataset1,ncrna
132,hsa_circ_0022434,hsa circ 0022434,dataset1,ncrna
133,hsa_circ_0023302,hsa circ 0023302,dataset1,ncrna
134,hsa_circ_0024842,hsa circ 0024842,dataset1,ncrna
135,hsa_circ_0025202,hsa circ 0025202,dataset1,ncrna
136,hsa_circ_0029345,hsa circ 0029345,dataset1,ncrna
137,hsa_circ_0030998,hsa circ 0030998,dataset1,ncrna
138,hsa_circ_0030999,hsa circ 0030999,dataset1,ncrna
139,hsa_circ_0031364,hsa circ 0031364,dataset1,ncrna
140,hsa_circ_0036054,hsa circ 0036054,dataset1,ncrna
141,hsa_circ_0036056,hsa circ 0036056,dataset1,ncrna
142,hsa_circ_0040603,hsa circ 0040603,dataset1,ncrna
143,hsa_circ_0041523,hsa circ 0041523,dataset1,ncrna
144,hsa_circ_0043632,hsa circ 0043632,dataset1,ncrna
145,hsa_circ_0043634,hsa circ 0043634,dataset1,ncrna
146,hsa_circ_0043739,hsa circ 0043739,dataset1,ncrna
147,hsa_circ_0043843,hsa circ 0043843,dataset1,ncrna
148,hsa_circ_0044556,hsa circ 0044556,dataset1,ncrna
149,hsa_circ_0048232,hsa circ 0048232,dataset1,ncrna
150,hsa_circ_0048856,hsa circ 0048856,dataset1,ncrna
151,hsa_circ_0050580,hsa circ 0050580,dataset1,ncrna
152,hsa_circ_0050581,hsa circ 0050581,dataset1,ncrna
153,hsa_circ_0054013,hsa circ 0054013,dataset1,ncrna
154,hsa_circ_0055114,hsa circ 0055114,dataset1,ncrna
155,hsa_circ_0055256,hsa circ 0055256,dataset1,ncrna
156,hsa_circ_0057518,hsa circ 0057518,dataset1,ncrna
157,hsa_circ_0058608,hsa circ 0058608,dataset1,ncrna
158,hsa_circ_0058731,hsa circ 0058731,dataset1,ncrna
159,hsa_circ_0060927,hsa circ 0060927,dataset1,ncrna
160,hsa_circ_0063776,hsa circ 0063776,dataset1,ncrna
161,hsa_circ_0063877,hsa circ 0063877,dataset1,ncrna
162,hsa_circ_0067352,hsa circ 0067352,dataset1,ncrna
163,hsa_circ_0068458,hsa circ 0068458,dataset1,ncrna
164,hsa_circ_0069996,hsa circ 0069996,dataset1,ncrna
165,hsa_circ_0069997,hsa circ 0069997,dataset1,ncrna
166,hsa_circ_0071799,hsa circ 0071799,dataset1,ncrna
167,hsa_circ_0072408,hsa circ 0072408,dataset1,ncrna
168,hsa_circ_0072410,hsa circ 0072410,dataset1,ncrna
169,hsa_circ_0074806,hsa circ 0074806,dataset1,ncrna
170,hsa_circ_0074930,hsa circ 0074930,dataset1,ncrna
171,hsa_circ_0076100,hsa circ 0076100,dataset1,ncrna
172,hsa_circ_0080975,hsa circ 0080975,dataset1,ncrna
173,hsa_circ_0081001,hsa circ 0081001,dataset1,ncrna
174,hsa_circ_0084021,hsa circ 0084021,dataset1,ncrna
175,hsa_circ_0084353,hsa circ 0084353,dataset1,ncrna
176,hsa_circ_0085495,hsa circ 0085495,dataset1,ncrna
177,hsa_circ_0085567,hsa circ 0085567,dataset1,ncrna
178,hsa_circ_0086241,hsa circ 0086241,dataset1,ncrna
179,hsa_circ_0087862,hsa circ 0087862,dataset1,ncrna
180,hsa_circ_0087963,hsa circ 0087963,dataset1,ncrna
181,hsa_circ_0091842,hsa circ 0091842,dataset1,ncrna
182,hsa_circ_0091931,hsa circ 0091931,dataset1,ncrna
183,hsa_circ_0091986,hsa circ 0091986,dataset1,ncrna
184,hsa_circ_0092276,hsa circ 0092276,dataset1,ncrna
185,let-7a,let-7a,dataset1,ncrna
186,let-7b,let-7b,dataset1,ncrna
187,let-7c,let-7c,dataset1,ncrna
188,let-7d,let-7d,dataset1,ncrna
189,let-7e,let-7e,dataset1,ncrna
190,let-7f,let-7f,dataset1,ncrna
191,let-7g,let-7g,dataset1,ncrna
192,let-7i,let-7i,dataset1,ncrna
193,linc-VLDLR,linc-vldlr,dataset1,ncrna
194,lncRNA MRUL,lncrna mrul,dataset1,ncrna
195,miR-1,mir-1,dataset1,ncrna
196,miR-100,mir-100,dataset1,ncrna
197,miR-100-3p,mir-100-3p,dataset1,ncrna
198,miR-100-5p,mir-100-5p,dataset1,ncrna
199,miR-101,mir-101,dataset1,ncrna
200,miR-101-3p,mir-101-3p,dataset1,ncrna
201,miR-101-5p,mir-101-5p,dataset1,ncrna
202,miR-103,mir-103,dataset1,ncrna
203,miR-105,mir-105,dataset1,ncrna
204,miR-106a,mir-106a,dataset1,ncrna
205,miR-106a-3p,mir-106a-3p,dataset1,ncrna
206,miR-106b-5p,mir-106b-5p,dataset1,ncrna
207,miR-107,mir-107,dataset1,ncrna
208,miR-10a,mir-10a,dataset1,ncrna
209,miR-10b,mir-10b,dataset1,ncrna
210,miR-1182,mir-1182,dataset1,ncrna
211,miR-1183,mir-1183,dataset1,ncrna
212,miR-1204,mir-1204,dataset1,ncrna
213,miR-1207-3p,mir-1207-3p,dataset1,ncrna
214,miR-1207-5p,mir-1207-5p,dataset1,ncrna
