sample_id,ncrna_id,drug_id,disease_id,label,split_role,source_dataset
0,0,21,22,1,positive,dataset2
1,0,21,26,2,positive,dataset2
2,0,73,2,2,positive,dataset1;dataset2
3,1,58,12,1,positive,dataset1
4,2,32,24,1,positive,dataset1
5,3,21,21,2,positive,dataset1
6,3,39,6,1,positive,dataset1
7,3,60,15,1,positive,dataset1
8,4,21,22,2,positive,dataset2
9,4,21,26,1,positive,dataset2
10,4,60,22,1,positive,dataset1
11,4,60,22,2,positive,dataset2
12,5,21,22,1,positive,dataset1
13,6,58,12,1,positive,dataset1
14,7,3,6,1,positive,dataset2
15,7,21,22,2,positive,dataset2
16,7,37,6,2,positive,dataset1
17,7,71,12,1,positive,dataset2
18,7,86,12,1,positive,dataset2
19,8,49,2,2,positive,dataset1
20,8,60,36,1,positive,dataset2
21,8,73,2,1,positive,dataset1
22,9,9,6,2,positive,dataset1
23,9,21,3,2,positive,dataset1
24,9,21,12,2,positive,dataset2
25,9,21,26,1,positive,dataset1
26,9,21,26,2,positive,dataset2
27,9,31,24,2,positive,dataset1;dataset2
28,9,41,17,1,positive,dataset2
29,9,60,2,1,positive,dataset2
30,9,75,10,2,positive,dataset1;dataset2
31,9,75,28,1,positive,dataset2
32,10,3,2,1,positive,dataset1;dataset2
33,10,3,26,1,positive,dataset2
34,10,41,17,1,positive,dataset2
35,10,60,26,1,positive,dataset2
36,10,75,28,2,positive,dataset2
37,11,13,5,2,positive,dataset1
38,11,21,17,1,positive,dataset1
39,11,21,22,1,positive,dataset2
40,11,31,15,1,positive,dataset1
41,11,31,17,1,positive,dataset2
42,11,39,5,1,positive,dataset2
43,11,60,5,1,positive,dataset2
44,11,60,24,1,positive,dataset2
45,12,21,22,2,positive,dataset2
46,12,60,22,1,positive,dataset1
47,12,60,22,2,positive,dataset2
48,13,3,0,1,positive,dataset2
49,13,3,12,1,positive,dataset2
50,13,3,14,1,positive,dataset1
51,13,4,17,1,positive,dataset2
52,13,21,12,1,positive,dataset2
53,13,21,14,1,positive,dataset1
54,13,21,22,1,positive,dataset2
55,13,21,31,2,positive,dataset2
56,13,39,6,1,positive,dataset2
57,13,39,12,1,positive,dataset2
58,13,39,14,1,positive,dataset1
59,13,39,26,2,positive,dataset2
60,13,57,17,1,positive,dataset2
61,13,58,6,1,positive,dataset2
62,13,58,26,2,positive,dataset2
63,13,60,6,1,positive,dataset2
64,13,60,31,2,positive,dataset2
65,13,71,12,1,positive,dataset2
66,13,75,10,1,positive,dataset2
67,13,85,12,1,positive,dataset2
68,14,58,12,1,positive,dataset1
69,15,32,24,1,positive,dataset1
70,16,21,22,2,positive,dataset2
71,16,60,22,1,positive,dataset1
72,16,60,22,2,positive,dataset2
73,17,21,22,2,positive,dataset2
74,17,60,22,1,positive,dataset1
75,17,60,22,2,positive,dataset2
76,18,14,20,1,positive,dataset1
77,19,58,12,1,positive,dataset1
78,20,3,2,2,positive,dataset2
79,20,3,21,1,positive,dataset1
80,20,3,21,2,positive,dataset2
81,20,3,26,1,positive,dataset2
82,20,60,36,2,positive,dataset2
83,20,75,10,1,positive,dataset2
84,20,75,28,2,positive,dataset2
85,20,84,26,1,positive,dataset2
86,20,85,12,1,positive,dataset2
87,21,3,21,1,positive,dataset1
88,22,3,2,1,positive,dataset2
89,22,21,17,1,positive,dataset2
90,22,21,21,1,positive,dataset2
91,22,42,1,2,positive,dataset1
92,22,71,12,2,positive,dataset2
93,22,75,10,1,positive,dataset2
94,22,85,12,1,positive,dataset2
95,23,23,26,1,positive,dataset1
96,24,2,24,2,positive,dataset1
97,24,3,2,2,positive,dataset2
98,24,3,12,2,positive,dataset2
99,24,3,26,2,positive,dataset2
100,24,3,37,2,positive,dataset2
101,24,7,24,2,positive,dataset1
102,24,21,3,1,positive,dataset1
103,24,21,10,2,positive,dataset2
104,24,21,12,2,positive,dataset2
105,24,21,17,1,positive,dataset1
106,24,21,17,2,positive,dataset2
107,24,21,22,2,positive,dataset2
108,24,21,37,2,positive,dataset2
109,24,31,24,1,positive,dataset1
110,24,31,24,2,positive,dataset2
111,24,36,24,2,positive,dataset1
112,24,39,23,1,positive,dataset1
113,24,39,23,2,positive,dataset2
114,24,41,15,2,positive,dataset1
115,24,42,23,2,positive,dataset1;dataset2
116,24,54,24,1,positive,dataset1
117,24,58,12,1,positive,dataset1
118,24,60,36,2,positive,dataset2
119,24,60,37,2,positive,dataset2
120,24,68,24,2,positive,dataset1
121,24,71,12,2,positive,dataset2
122,24,73,2,2,positive,dataset1
123,24,75,28,2,positive,dataset2
124,24,76,24,2,positive,dataset1
125,24,85,12,1,positive,dataset2
126,25,39,6,1,positive,dataset1;dataset2
127,25,58,6,1,positive,dataset1;dataset2
128,26,0,5,1,positive,dataset1
129,26,3,2,1,positive,dataset1;dataset2
130,26,3,12,1,positive,dataset1
131,26,3,13,1,positive,dataset1;dataset2
132,26,12,19,1,positive,dataset1;dataset2
133,26,21,2,1,positive,dataset1
134,26,21,15,1,positive,dataset2
135,26,21,18,1,positive,dataset2
136,26,21,22,1,positive,dataset2
137,26,21,22,2,positive,dataset1
138,26,21,26,1,positive,dataset1
139,26,21,43,1,positive,dataset2
140,26,22,17,2,positive,dataset2
141,26,31,12,2,positive,dataset2
142,26,32,24,1,positive,dataset2
143,26,34,17,1,positive,dataset2
144,26,34,17,2,positive,dataset2
145,26,39,6,1,positive,dataset2
146,26,39,6,2,positive,dataset2
147,26,39,12,2,positive,dataset2
148,26,40,2,1,positive,dataset2
149,26,40,2,2,positive,dataset1
150,26,41,15,1,positive,dataset2
151,26,41,17,1,positive,dataset2
152,26,41,17,2,positive,dataset1;dataset2
153,26,52,6,1,positive,dataset1
154,26,58,6,1,positive,dataset1;dataset2
155,26,58,12,1,positive,dataset2
156,26,60,2,1,positive,dataset1;dataset2
157,26,60,2,2,positive,dataset1
158,26,60,12,2,positive,dataset2
159,26,60,36,1,positive,dataset2
160,26,60,37,1,positive,dataset2
161,26,63,2,1,positive,dataset1
162,26,71,12,1,positive,dataset2
163,26,73,2,1,positive,dataset2
