ncrna_id,drug_id,disease_id,label,split_role,source_dataset
0,21,22,1,positive,dataset2
0,21,26,2,positive,dataset2
0,73,2,2,positive,dataset1;dataset2
1,58,12,1,positive,dataset1
2,32,24,1,positive,dataset1
3,21,21,2,positive,dataset1
3,39,6,1,positive,dataset1
3,60,15,1,positive,dataset1
4,21,22,2,positive,dataset2
4,21,26,1,positive,dataset2
4,60,22,1,positive,dataset1
4,60,22,2,positive,dataset2
5,21,22,1,positive,dataset1
6,58,12,1,positive,dataset1
7,3,6,1,positive,dataset2
7,21,22,2,positive,dataset2
7,37,6,2,positive,dataset1
7,71,12,1,positive,dataset2
7,86,12,1,positive,dataset2
8,49,2,2,positive,dataset1
8,60,36,1,positive,dataset2
8,73,2,1,positive,dataset1
9,9,6,2,positive,dataset1
9,21,3,2,positive,dataset1
9,21,12,2,positive,dataset2
9,21,26,1,positive,dataset1
9,21,26,2,positive,dataset2
9,31,24,2,positive,dataset1;dataset2
9,41,17,1,positive,dataset2
9,60,2,1,positive,dataset2
9,75,10,2,positive,dataset1;dataset2
9,75,28,1,positive,dataset2
10,3,2,1,positive,dataset1;dataset2
10,3,26,1,positive,dataset2
10,41,17,1,positive,dataset2
10,60,26,1,positive,dataset2
10,75,28,2,positive,dataset2
11,13,5,2,positive,dataset1
11,21,17,1,positive,dataset1
11,21,22,1,positive,dataset2
11,31,15,1,positive,dataset1
11,31,17,1,positive,dataset2
11,39,5,1,positive,dataset2
11,60,5,1,positive,dataset2
11,60,24,1,positive,dataset2
12,21,22,2,positive,dataset2
12,60,22,1,positive,dataset1
12,60,22,2,positive,dataset2
13,3,0,1,positive,dataset2
13,3,12,1,positive,dataset2
13,3,14,1,positive,dataset1
13,4,17,1,positive,dataset2
13,21,12,1,positive,dataset2
13,21,14,1,positive,dataset1
13,21,22,1,positive,dataset2
13,21,31,2,positive,dataset2
13,39,6,1,positive,dataset2
13,39,12,1,positive,dataset2
13,39,14,1,positive,dataset1
13,39,26,2,positive,dataset2
13,57,17,1,positive,dataset2
13,58,6,1,positive,dataset2
13,58,26,2,positive,dataset2
13,60,6,1,positive,dataset2
13,60,31,2,positive,dataset2
13,71,12,1,positive,dataset2
13,75,10,1,positive,dataset2
13,85,12,1,positive,dataset2
14,58,12,1,positive,dataset1
15,32,24,1,positive,dataset1
16,21,22,2,positive,dataset2
16,60,22,1,positive,dataset1
16,60,22,2,positive,dataset2
17,21,22,2,positive,dataset2
17,60,22,1,positive,dataset1
17,60,22,2,positive,dataset2
18,14,20,1,positive,dataset1
19,58,12,1,positive,dataset1
20,3,2,2,positive,dataset2
20,3,21,1,positive,dataset1
20,3,21,2,positive,dataset2
20,3,26,1,positive,dataset2
20,60,36,2,positive,dataset2
20,75,10,1,positive,dataset2
20,75,28,2,positive,dataset2
20,84,26,1,positive,dataset2
20,85,12,1,positive,dataset2
21,3,21,1,positive,dataset1
22,3,2,1,positive,dataset2
22,21,17,1,positive,dataset2
22,21,21,1,positive,dataset2
22,42,1,2,positive,dataset1
